row_index,query_title,query_year,tmdb_id,matched_title,original_title,release_date,budget_usd,revenue_usd,profit_usd,revenue_to_budget_ratio,runtime_min,vote_average,vote_count,popularity,genres,keywords,status,original_language,imdb_id,homepage,found,_error
558,Notorious,1946.0,303.0,Notorious,Notorious,1946-08-21,2000000.0,24500000.0,22500000.0,12.25,103.0,7.743,1658.0,2.5444,"Thriller, Romance, Mystery","daughter, marriage proposal, nazi, undercover, espionage, atomic bomb, love at first sight, poison, spy, fbi, patriotism, rio de janeiro, wine cellar, staircase, film noir, black and white, millionaire, intoxication, american spy, spy thriller",Released,en,tt0038787,,True,
559,The Big Sleep,1946.0,910.0,The Big Sleep,The Big Sleep,1946-08-23,250000.0,10682000.0,10432000.0,42.728,114.0,7.6,1091.0,2.1515,"Mystery, Crime, Thriller","based on novel or book, gambling, poison, blackmail, detective, drug addiction, sister, film noir, murder, private investigator, whodunit, los angeles, california, private detective, book store, missing person, prank telephone call, wealthy family",Released,en,tt0038355,,True,
560,The Lost Weekend,1945.0,28580.0,The Lost Weekend,The Lost Weekend,1945-11-29,1250000.0,11000000.0,9750000.0,8.8,101.0,7.6,627.0,2.1945,Drama,"based on novel or book, alcohol, brother, paranoia, bartender, addiction, alcoholism, flashback, film noir, suicidal, black and white, writer, alcoholic, bats, low self esteem, dishonesty, hopelessness, delirium tremens, lies, devoted girlfriend",Released,en,tt0037884,,True,
561,The Philadelphia Story,1940.0,981.0,The Philadelphia Story,The Philadelphia Story,1940-12-05,0.0,0.0,,,113.0,7.6,904.0,2.5051,"Comedy, Romance","journalist, philadelphia, pennsylvania, strong woman, photographer, journalism, swimming pool, remarriage, hangover, reporter, black and white, divorcee, screwball comedy, socialite, ex-husband ex-wife relationship, high society, fiancé fiancée relationship, divorced couple, family estate, inebriated, imminent wedding, kid sister, mischievous, tabloid journalism, comedy of remarriage, romantic",Released,en,tt0032904,,True,
562,His Girl Friday,1940.0,3085.0,His Girl Friday,His Girl Friday,1940-01-18,0.0,0.0,,,92.0,7.396,879.0,1.4374,"Comedy, Romance","prison, journalist, suicide, journalism, based on play or musical, wager, fugitive, black and white, screwball comedy, corrupt politician, newspaper editor, insurance agent, fiancé fiancée relationship, press room, political corruption, rolltop desk, reprieve, bride-to-be, ex spouses, imminent execution, convicted murderer, comedy of remarriage, ambivalent",Released,en,tt0032599,,True,
563,The Adventures of Robin Hood,1938.0,10907.0,The Adventures of Robin Hood,The Adventures of Robin Hood,1938-05-13,2033000.0,3981000.0,1948000.0,1.9582,102.0,7.5,797.0,3.9351,"Adventure, Romance, History","sword, repayment, robin hood, archer, richard the lionheart, sherwood forest, sword fight, nottingham, historical fiction, disguise, swashbuckler, medieval, technicolor, based on myths, legends or folklore, saxons, action hero, 12th century, vigilante justice, cheerful, excited",Released,en,tt0029843,,True,
564,A Night at the Opera,1935.0,37719.0,A Night at the Opera,A Night at the Opera,1935-11-15,0.0,0.0,,,91.0,7.444,514.0,1.2969,"Comedy, Music","opera, cross dressing, whimsical, farcical, ridiculous",Released,en,tt0026778,,True,
565,King Kong,1933.0,244.0,King Kong,King Kong,1933-03-15,672000.0,10001781.0,9329781.0,14.8836,104.0,7.597,1538.0,2.6042,"Adventure, Fantasy, Horror","new york city, ship, exotic island, island, unsociability, screenplay, movie business, great depression, dinosaur, black and white, pre-code, sea voyage, damsel in distress, empire state building, giant ape, animal horror, great ape, king kong",Released,en,tt0024216,,True,
566,Freaks,1932.0,136.0,Freaks,Freaks,1932-01-01,310607.0,0.0,,,66.0,7.8,1236.0,2.2434,"Drama, Horror","infidelity, dwarf, attempted murder, clown, beauty, carnival, romance, revenge, murder, black and white, newlywed, pre-code, bigotry, disability, sideshow, told in flashback, speech impediment, trapeze artist, stutterer, deformity, conjoined twins, freak, armless, midgets, midget, bareback rider, poisoned drink, pseudo-hermaphrodite, bearded lady, microcephalics, human skeleton",Released,en,tt0022913,,True,
567,Nosferatu,1922.0,653.0,Nosferatu,"Nosferatu, eine Symphonie des Grauens",1922-02-16,0.0,48892.0,,,95.0,7.673,2296.0,4.3973,"Horror, Fantasy","self sacrifice, transylvania, germany, loss of loved one, vampire, shapeshifting, coffin, supernatural, castle, ghost ship, black and white, silent film, seashore, vampire bat, real estate agent, ghoul, psychotronic, locket, sailing ship, corpse in coffin, nosferatu, real estate, black death, expressionism, mountain country, sleepwalking, romania, rat, german expressionism, dracula",Released,de,tt0013442,,True,
568,The Gentlemen,2019.0,522627.0,The Gentlemen,The Gentlemen,2020-01-01,22000000.0,115171795.0,93171795.0,5.2351,113.0,7.675,6186.0,7.9062,"Comedy, Crime","london, england, robbery, businessman, gangster, dark comedy, betrayal, marijuana, business, jewish american, gunfight, brutality, american abroad, irishman, scheme, playful, casual",Released,en,tt8367814,https://www.miramax.com/movie/the-gentlemen,True,
569,Raazi,2018.0,491629.0,Raazi,राज़ी,2018-05-10,4500000.0,23800000.0,19300000.0,5.2889,138.0,7.22,173.0,2.3976,"Thriller, Action, Drama, History","based on novel or book, female spy, india pakistan war",Released,hi,tt7098658,,True,
